Names,Years,Duration,Genre,Rating,Stars,Votes
The Undoing,2020,50,Drama            ,8.3,"Ama Obi, Jenifer Brown, Tessy Dickson, Dennis Ejiogu, Bryan Emmanuel]",40
Gangster Paradise,2003,100,Action            ,8.3,"Add a Plot, Ifeanyi Ikpoenyi, Grace Amah, Emma Ayalogu, Emma Ehumadu, Tony Goodman]",25
Idahosa Trails,2003,50,Drama            ,8.3,"Stanlee Ohikhuare, David Schifter, Charles Okafor, Kunle Idowu, Osas Ighodaro]",11
Forbidden,2018,27,Drama            ,8.5,"Kunle Remi, Tina Mba, Charles Etubiebi, Theresa Edem]",6
Visions,2017,19,"Short, Fantasy, Horror            ",8.5,"Abba Makama, C.J. 'Fiery' Obasi, Michael Omonua, Sunara Begum, Valerie Dish, Francisca Eleyele, Yvonne Enakhena]",7
Adventures of Turtle Taido,2015,60,Animation            ,8.5,"Samuel Adeseko, Tobi Ajakaye, Ayomikun Akala, Patience Bassey]",14
Atonement,2005,38,Drama            ,8.5,"Add a Plot, Fos Nwaokike, Prince Emeka Ani, Emmanuel France, Livinus Nnochiri, Fos Nwaokike]",26
 King of Boys: The Return of the King,2021,10,"Crime, Drama            ",8.5,"X, Kemi Adetiba, Sola Sobowale, IllBliss, Efa Iwara, Osas Ighodaro]",29
 Shuga,2021,84,Drama            ,8.5,"X, See full summary, Biyi Bandele, Chris Attoh, Timini Egbuson, Kc Ejelonu, Sharon Ezeamaka]",7
Sham to Glam,2009,15,"Comedy, Romance            ",8.6,"Add a Plot, Akin-Tijani Balogun, Nana Abdulmalik, Bimbo Ademoye, Ajakaya Aliyah, Monsuru Amodu]",8
Ìfé,2013,103,"Short, Romance            ",8.6,"Uyaiedu Ikpe-Etim, Uzoamaka Aniunoh, Cindy Amadi]",13
The Washerman,2022,12,"Comedy, Romance            ",8.6,"Charles Uwagbai, Judith Audu, Stephen Damian, Sani Danja, Frank Donga]",9
Our Best Friend's Wedding,2020,6,Drama            ,8.6,"See full summary, Adebola Olowu, Oreka Godis, Marycolette Unamka, Gbemi Olateru-Olagbegi]",9
Waiting for Hassana,2018,141,"Documentary, Short            ",8.6,Ifunanya Maduka],15
Downhill,2017,133,Drama            ,8.6,"Michael Akinrogunde, Blessing Abraham, Bimbo Ademoye, Blossom Chukwujekwu, Judge Clinton]",6
The Bridesmaid,2017,47,"Animation, Short            ",8.6,"Add a Plot, Charles Novia, Chioma Chukwuka Akpotha, Bernadette Balogun, Stella Damasus, Salako David]",10
Emeka's Money,2021,30,"Horror, Thriller            ",8.6,"See full summary, Mbuotidem Johnson, Raymond Abia, Rodney Abia, Oluoma Anyaogu, Korede Johnson]",5
Cold Calm,2005,11,"Short, Family            ",8.6,"Tyna Ezenma, Gbenro Ajibade, Victor Chude, Sydney Diala, Desmond Ekeh]",9
Turtle Taido in Osun and Kogi States,2020,180,"Short, Comedy            ",8.6,"See full summary, Artie Romero, Adanma Kayode, Muyiwa Kayode]",8
The Cafe or the Kettle,2020,47,Comedy            ,8.6,"Onome Egba, Onyedika Okafor]",5
Battle on Buka Street,2018,115,Action            ,8.7,"Funke Akindele, Tobi Makinde, Bimbo Ademoye, Funke Akindele, Sani Danja, Moshood Fattah]",42
Desperadoes,2016,112,Comedy            ,8.7,"Add a Plot, Izu Ojukwu, Jerry Amilo, Hanks Anuku, Eucharia Anunobi Ekwu, Stephen Chang]",7
Aki & PawPaw,2022,79,Drama            ,8.7,"Add a Plot, Osita Iheme, Chinedu Ikedieze]",13
Edge of Paradise,2001,92,Adventure            ,8.7,"Add a Plot, Joseph Benjamin, Tope Tedela, Ebuka Ekpunobi, Toyin Alausa]",7
Jenifa's Diary,2015,25,Comedy            ,9.1,"Hawwal .E. Ogungbadero, Frances Okeke, Jack Loy, Yinka Pearce-Tijani]",36
Poka Messiah,2016,96,Action            ,9.1,"Add a Plot, Ernest Obi, Jide Kene Achufusi, Jude Thomas Dawam, Yul Edochie, Erica Nlewedim]",8
On the Real,2016,20,Comedy            ,9.1,"See full summary, Folu Storms, Chy Nwakanma, Ini Dima Okojie, Nancy Isime]",26
Blood Sister 2,2003,6,Drama            ,9.2,"Add a Plot, Tchidi Chikere, Chelsea Gabriel, Omotola Jalade-Ekeinde, Genevieve Nnaji, Oge Okoye]",5
Diamond Ring,1998,30,"Drama, Thriller            ",9.2,"See full summary, Tade Ogidan, Bukky Ajayi, Bimbo Akintola, Tunji Bamishigbin, Liz Benson]",8
This Is It,2016,25,Romance            ,9.2,"Yinka Pearce-Tijani, Bimbo Ademoye, Teniola Aladese, Nick Mutuma]",26
Inanity,2021,107,"Short, Drama, Sci-Fi            ",9.2,"Christopher Okonkwo, Kyim Andrew, Sarah Andrew, McYoungee, Mark Musa]",6
Ogbologbo,2003,25,"Action, Thriller            ",9.3,"Add a Plot, Monsuru Obadina, Mulikat Adegbola, Sikiru Adesina, Lanre Hassan, Dele Odule]",6
Battleground: Africa Magic,2017,114,Drama            ,9.3,"Onyinye Love Mba, Ifeanyi Akogo, Lola Adamson, Ini Dima Okojie]",16
Halita,2020,30,Drama            ,9.4,"See full summary, Chisom Agoawuike, Ummi Baba-Ahmed, Boma Ilamina-Eremie, Bassey Ekpo Bassey]",30
The Men's Club,2019,67,Drama            ,9.4,"Baaj Adebule, Ayoola Ayolola, Efa Iwara, Daniel Etim Effiong]",34
Kinsman,2018,116,"Comedy, Drama, Romance            ",9.6,"Doris Ariole, Omobola Akinde, Bridget Chigbufue, Emma Chinedum, Lota Chukwu]",6
Battleground,2017,153,Drama            ,9.6,"Add a Plot, Ini Dima Okojie, Joke Silva, Shaffy Bello, Gbenga Titiloye]",5
Battle of Musanga,1996,96,Drama            ,9.6,"Bolaji Dawodu, Chiwetalu Agu, Eucharia Anunobi Ekwu, Chika Anyanwu, Obi Madubogwu]",5
Investment chat in a RR with Stephen Akintayo,2020,121,Talk-Show            ,9.7,"Add a Plot, Omotunde Adebowale David, Gbenga Adeyinka, Abiodun Olopade, Joke Silva]",14
Double Mama,2013,132,Comedy            ,9.8,"See full synopsis, Andy Chukwu, Chiwetalu Agu, Osita Iheme, Ify Dollars, Andy Chukwu]",26
Strangers,2022,34,Drama            ,9.8,"Biodun Stephen, Lateef Adedimeji, Bimbo Akintola, Daniel Bogunmbe, Ndamo Damarise]",15
