Names,Years,Duration,Genre,Rating,Stars,Votes
Diamonds in the Sky,2019,149,Drama            ,5.8,"Kunle Afolayan, Femi Adebayo, Omowunmi Dada, Joke Silva, Ali Nuhu]",6
Green White Green,2016,115,Comedy            ,5.8,"Abba Makama, Dabis Christopher, Erick Didie, Ifeanyi Dike Jr., Don Ekwuazi]",51
Oga Bolaji,2018,110,Drama            ,5.8,"See full summary, Kayode Kasum, Omowunmi Dada, Jasmine Fakunle, Ikponmwosa Gold, Gregory Ojefua]",8
Burning Bridges,2014,111,Comedy            ,5.8,"Okechukwu Oku, Ivie Okujaye, Ken Erics, Esther Audu, Suzuki Ultra]",5
Moonlight,2006,30,Drama            ,5.8,"Add a Plot, Ikenna Ezeugwu, Chika Anyanwu, Nonso Diobi, Louisa Nwobodo, Georgina Onuoha]",6
In Line,2017,103,"Comedy, Romance            ",5.9,"See full summary, Tope Oshin, Esosa Adah, Elsie Ajokku, Uzor Arukwe, Chris Attoh]",45
The Wedding Party,2016,94,Drama            ,5.9,"Kemi Adetiba, Adeolu Adefarasin, Alibaba Akporobome, Zainab Balogun, Stephen Damian]",641
Alter Ego,2017,81,"Game-Show, Reality-TV            ",5.9,"Moses Inwang, Ayenuro Ademola, Margaret Adewunmi, Rahila Ahmed, Abiola Atanda]",64
Big Brother Nigeria,2006,75,"Comedy, Romance            ",5.9,"Ebuka Obi-Uchendu, Venita Akpofure, Esther Agunbiade, Chukwuemeka Okoye]",35
Dinner at My Place,2022,30,"Comedy, Romance            ",5.9,"Kevin Luther Apaa, Bisola Aiyeola, Sophie Alakija, Gabriel Ameh, Timini Egbuson]",60
Flower Girl,2013,11,Drama            ,5.9,"Michelle Bello, Damilola Adegbite, Angela Adiele, Ahide Adum, Ijeoma Grace Agu]",114
August the First,2007,164,Comedy            ,5.9,"Lanre Olabisi, Ian Alsup, Dennis Rubin Green, Kerisse Hutchinson, Joy Merriweather]",237
Meet the In-Laws,2016,118,"Short, Drama            ",5.9,"See full summary, Niyi Akinmolayan, Dayo Amusa, Judith Audu, Lilian Esoro, Dickson Godwin]",28
Hell or High Water,2016,110,Short            ,5.9,"See full summary, Oluseyi Asurf, Tunbosun Aiyedehin, Godslight Brown, Cynthia Chika Okeke, Daniel K. Daniel]",25
Daughters of Chibok,2019,100,Drama            ,5.9,Joel Kachi Benson],8
Finding Mercy 1 & 2,2013,86,Drama            ,5.9,"Add a Plot, Desmond Elliot, Chioma Chukwuka Akpotha, Faith Bungie, Blossom Chukwujekwu, Rita Dominic]",9
Games Women Play 2,2005,91,Drama            ,5.9,"Add a Plot, Lancelot Oduwa Imasuen, Stella Damasus, Desmond Elliot, Omotola Jalade-Ekeinde, Genevieve Nnaji]",9
Evil Woman,2003,94,Drama            ,5.9,"Uju Aroh, Stephen Bonam, Sam Loco Efe, Camilla Mberekpe]",15
93 Days,2016,83,Drama            ,6.0,"Steve Gukas, Paul Adams, Seun Ajayi, Bimbo Akintola, Jide Attah]",1648
Thunderbolt: Magun,2001,72,Romance            ,6.0,"Tunde Kelani, Ojuolape Abayomi, Uche Ama Abriel, Motunrayo Adeoye, Bose Aderibigbe]",26
When Love Happens Again,2016,63,Comedy            ,6.0,"Seyi Babatope, Weruche Opia, Oreka Godis, Enyinna Nwigwe, Udoka Oyeka]",29
U-Turn,2022,57,"Drama, Romance, Thriller            ",6.0,"Gabriel Afolayan, Adunni Ade, Muyiwa Adegoke, Toyosi Adesanya, Gabriel Afolayan]",11
Road to Yesterday,2015,111,"Comedy, Drama            ",6.0,"Ishaya Bako, Genevieve Nnaji, Oris Erhuero, Chioma Omeruah, Baaj Adebule]",253
Taxi Driver: Oko Ashewo,2015,151,"Drama, Family            ",6.0,"See full summary, Daniel Oriahi, Odunlade Adekola, Ijeoma Grace Agu, Richard Akinlade, Babajide Alimison]",76
Children of Mud,2020,134,Drama            ,6.0,"Imoh Umoren, Matilda Obaseki, Liz Benson, Mariam Kayode, Raphael Jackson]",8
Light Out,2006,110,Drama            ,6.0,"Add a Plot, Nonso Ekene Okonkwo, Cres Adibe, Ify Afuba, Gentle Jack, Ebube Nwagbo]",25
Only in America,2005,169,Drama            ,6.0,"David DeCrane, Pascal Atuma, Tanjareen Thomas, Sandra Achuns, Shola Adeyemo]",51
Bursting Out,2010,101,Drama            ,6.0,"Add a Plot, Daniel Ademinokan, Desmond Elliot, Maryann Bassey, Cynthia Chika Okeke, Amanda Ebeye, Desmond Elliot]",10
Common Man,2015,110,"Drama, Romance            ",6.0,"Stanlee Ohikhuare, Omotu Bissong, Daniel O. David, Lord Frank, Taiwo Gasper]",5
Half of a Yellow Sun,2013,92,"Drama, Thriller            ",6.1,"Biyi Bandele, Chiwetel Ejiofor, Thandiwe Newton, Anika Noni Rose, Joseph Mawle]",2045005
Prophetess,2021,144,"Comedy, Drama            ",6.1,"See full summary, Niyi Akinmolayan, Toyin Abraham, Lateef Adedimeji, Uzor Arukwe, Kehinde Bankole]",21
Jénífà,2008,24,Drama            ,6.1,"Add a Plot, Muhydeen S. Ayinde, Tope Adebayo, Odunlade Adekola, Owolabi Adelaja, Toyosi Adesanya]",7
Ojo's in d' House,2013,122,Comedy            ,6.1,"See full summary, Najite Dede, Jude Chukwuka, Taiwo Arimoro, Funmi Eko]",11
Who Wants to Be a Millionaire?,2004,95,Game-Show            ,6.1,"Frank Edoho, Jerry O'Brien]",19
The Wait,2021,112,Drama            ,6.2,"Fiyin Gambo, Yemi Morafa, Ope Ade-Agbo, Mike Afolarin, Ifeanyi Akogo, Gloria Anozie]",22
Ojuju,2014,66,"Horror, Thriller            ",6.2,"See full summary, C.J. 'Fiery' Obasi, Gabriel Afolayan, Omowunmi Dada, Kelechi Udegbe, Meg Otanwa]",40
The Perfect Arrangement,2022,97,"Comedy, Romance            ",6.2,"Chinaza Onuzo, Melat Abera, Toba Aboyeji, Adunni Ade, Adebowale Adedayo]",46
The Delivery Boy,2018,30,"Drama, Thriller            ",6.2,"Adekunle Nodash Adejuyigbe, Ibrahim Jammal, Charles Etubiebi, Muyiwa Ayoola, Jemima Osunde]",94
Cold Feet,2020,130,Drama            ,6.2,"See full summary, Moses Inwang, Femi Adebayo, Padita Agu, Segun Arinze, Tom Banis]",59
